,case_id,st_cd,naics_code_description,case_violtn_cnt,findings_start_date,findings_end_date,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,ld_dt,start_year,end_year,start_month_int,end_month_int,start_quarter,end_quarter,ld_dt_object,ld_dt_year,ld_dt_month,ld_dt_quarter,total_employment
72,1802853,FL,Sugarcane Farming,3,10/1/2015,10/2/2016,2,0.0,0,0.0,2017-03-14 01:00:03 EDT,2015,2016,10,10,DEC,DEC,2017-03-14 01:00:03,2017,3,MAR,81
158,1770830,NY,Corn Farming,9,5/21/2014,11/1/2015,9,4011.1,8,900.0,2016-06-11 02:22:25 EDT,2014,2015,5,11,JUN,DEC,2016-06-11 02:22:25,2016,6,JUN,87
174,1762079,MS,Berry (except Strawberry) Farming,7,5/1/2014,6/11/2015,7,0.0,0,3150.0,2016-02-19 01:00:04 EST,2014,2015,5,6,JUN,JUN,2016-02-19 01:00:04,2016,2,MAR,16
910,1518046,SC,Other Noncitrus Fruit Farming,36,6/19/2008,6/19/2008,36,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
1434,1689982,GA,Farm Labor Contractors and Crew Leaders,6,11/5/2012,4/25/2013,6,0.0,0,1800.0,2016-02-19 01:00:04 EST,2012,2013,11,4,DEC,JUN,2016-02-19 01:00:04,2016,2,MAR,50
1721,1702293,MI,Landscape Architectural Services,30,8/22/2011,8/20/2013,29,111901.86,28,0.0,2016-02-19 01:00:04 EST,2011,2013,8,8,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,37
2089,1722071,AL,Nursery and Floriculture Production,4,3/15/2012,3/13/2014,2,0.0,0,900.0,2016-02-19 01:00:04 EST,2012,2014,3,3,MAR,MAR,2016-02-19 01:00:04,2016,2,MAR,22
2423,1745990,LA,Sugarcane Farming,7,3/18/2013,11/29/2014,7,506.3,6,1800.0,2016-02-19 01:00:04 EST,2013,2014,3,11,MAR,DEC,2016-02-19 01:00:04,2016,2,MAR,19
2516,1518043,SC,Other Noncitrus Fruit Farming,12,1/1/2007,6/30/2008,12,252.42,12,0.0,2015-02-20 01:00:06 EST,2007,2008,1,6,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,14
2818,1385778,ID,Sheep Farming,3,11/15/2002,11/12/2004,3,0.0,0,3000.0,2015-02-20 01:00:06 EST,2002,2004,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,5
2904,1513764,NY,Nursery and Tree Production,23,2/4/2008,7/29/2008,22,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,2,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
2905,1513766,NY,Other Food Crops Grown Under Cover,29,8/1/2007,6/25/2008,26,0.0,0,0.0,2015-02-20 01:00:06 EST,2007,2008,8,6,SEP,JUN,2015-02-20 01:00:06,2015,2,MAR,87
2915,1515300,KY,Tobacco Farming,17,6/6/2006,6/5/2008,15,0.0,0,1650.0,2015-02-20 01:00:06 EST,2006,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
2964,1437944,AR,Other Vegetable (except Potato) and Melon Farming,78,6/1/2006,9/15/2006,77,7961.25,53,0.0,2015-02-20 01:00:06 EST,2006,2006,6,9,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,16
3095,1518279,VA,Tobacco Farming,13,7/9/2006,7/6/2008,13,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
3415,1517350,NJ,Nursery and Floriculture Production,12,7/25/2006,7/24/2008,12,3826.8,12,0.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,35
3731,1510032,VA,Other Vegetable (except Potato) and Melon Farming,9,5/26/2006,5/16/2008,8,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
3738,1510042,VA,"Nursery, Garden Center, and Farm Supply Stores",9,5/30/2006,5/13/2008,9,1005.29,3,0.0,2015-02-20 01:00:06 EST,2006,2008,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
3739,1510045,VA,All Other Miscellaneous Crop Farming,2,5/6/2006,4/26/2008,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,5,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
3842,1486470,OH,Noncitrus Fruit and Tree Nut Farming,36,9/3/2005,8/31/2007,2,0.0,0,2000.0,2015-02-20 01:00:06 EST,2005,2007,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,29
3935,1518280,VA,Tobacco Farming,6,7/7/2006,7/4/2008,6,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
3999,1665196,NY,Apple Orchards,24,8/1/2011,9/10/2012,21,13537.68,21,12600.0,2015-02-20 01:00:06 EST,2011,2012,8,9,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
4057,1519848,NY,Other Vegetable (except Potato) and Melon Farming,3,5/4/2008,7/5/2008,3,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,5,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,87
4147,1457623,KY,Tobacco Farming,10,11/22/2004,11/22/2006,9,1568.64,1,562.5,2015-02-20 01:00:06 EST,2004,2006,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,14
4537,1518292,VA,Tobacco Farming,19,7/22/2006,7/12/2008,18,0.0,0,1550.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
4785,1520247,NY,"Nursery, Garden Center, and Farm Supply Stores",5,9/1/2006,8/29/2008,2,500.0,2,0.0,2015-02-20 01:00:06 EST,2006,2008,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
4990,1523485,KY,Tobacco Farming,94,8/31/2006,10/15/2008,91,20876.14,19,7100.0,2015-02-20 01:00:06 EST,2006,2008,8,10,SEP,DEC,2015-02-20 01:00:06,2015,2,MAR,14
5425,1520861,MD,"Greenhouse, Nursery, and Floriculture Production",22,3/10/2008,7/15/2008,22,0.0,0,3487.5,2015-02-20 01:00:06 EST,2008,2008,3,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,22
5690,1517079,SC,Noncitrus Fruit and Tree Nut Farming,3,1/1/2007,6/30/2008,2,0.0,0,400.0,2015-02-20 01:00:06 EST,2007,2008,1,6,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,14
5706,1524193,NY,"Nursery, Garden Center, and Farm Supply Stores",1,9/2/2006,8/29/2008,1,400.0,1,0.0,2015-02-20 01:00:06 EST,2006,2008,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
6063,1761460,KY,Tobacco Farming,2,7/16/2013,7/15/2015,2,347.8,1,900.0,2016-02-19 01:00:04 EST,2013,2015,7,7,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,14
6154,1446456,VA,Tobacco Farming,1,4/5/2006,7/11/2006,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2006,4,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,24
6230,1517858,FL,Other Vegetable (except Potato) and Melon Farming,13,4/25/2008,7/3/2008,13,611.14,13,0.0,2015-02-20 01:00:06 EST,2008,2008,4,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,88
6370,1519262,NC,Farm Labor Contractors and Crew Leaders,12,6/30/2008,8/30/2008,9,3300.11,9,0.0,2015-02-20 01:00:06 EST,2008,2008,6,8,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,35
6456,1380759,NY,Fruit and Tree Nut Farming,1,9/1/2004,11/15/2004,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2004,9,11,SEP,DEC,2015-02-20 01:00:06,2015,2,MAR,87
6522,1517303,SC,Other Noncitrus Fruit Farming,15,6/11/2008,6/17/2008,15,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
6524,1517305,SC,Other Noncitrus Fruit Farming,45,6/11/2008,6/17/2008,45,0.0,0,1100.0,2015-02-20 01:00:06 EST,2008,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
6737,1590942,OH,Landscaping Services,48,8/3/2008,8/3/2010,35,5944.09,8,6525.0,2016-02-19 01:00:04 EST,2008,2010,8,8,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,30
6898,1622145,LA,Strawberry Farming,93,7/3/2009,7/2/2011,91,12398.37,41,56100.0,2016-02-19 01:00:04 EST,2009,2011,7,7,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,19
6937,1456386,NY,Nursery and Tree Production,8,10/22/2004,10/21/2006,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,87
6997,1489683,KY,Tobacco Farming,16,4/28/2006,11/2/2007,16,0.0,0,712.5,2015-02-20 01:00:06 EST,2006,2007,4,11,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,14
7150,1620455,MS,Potato Farming,75,7/11/2009,7/9/2011,71,36222.94,71,0.0,2016-02-19 01:00:04 EST,2009,2011,7,7,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,16
7154,1621716,WA,Apple Orchards,673,5/1/2010,7/31/2011,668,0.0,0,594900.0,2016-02-19 01:00:04 EST,2010,2011,5,7,JUN,SEP,2016-02-19 01:00:04,2016,2,MAR,20
7244,1489363,NY,Nursery and Floriculture Production,53,9/1/2005,8/23/2007,45,1708.83,2,0.0,2015-02-20 01:00:06 EST,2005,2007,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
7333,1693615,NY,All Other Miscellaneous Crop Farming,112,4/2/2012,8/31/2013,112,69056.42,103,19944.0,2016-02-19 01:00:04 EST,2012,2013,4,8,JUN,SEP,2016-02-19 01:00:04,2016,2,MAR,88
7429,1682197,CO,Sheep Farming,16,2/1/2011,1/31/2013,15,2220.0,10,10800.0,2016-02-19 01:00:04 EST,2011,2013,2,1,MAR,MAR,2016-02-19 01:00:04,2016,2,MAR,23
7491,1656961,SD,Dairy Cattle and Milk Production,88,5/16/2010,5/15/2012,83,40450.81,81,70312.5,2016-02-19 01:00:04 EST,2010,2012,5,5,JUN,JUN,2016-02-19 01:00:04,2016,2,MAR,4
7506,1624500,NV,Hay Farming,5,3/21/2011,7/20/2011,4,871.24,4,0.0,2015-02-20 01:00:06 EST,2011,2011,3,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,14
7674,1656292,NY,Nursery and Tree Production,20,6/11/2010,6/8/2012,19,758.16,6,0.0,2015-02-20 01:00:06 EST,2010,2012,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,87
7885,1695606,FL,Farm Labor Contractors and Crew Leaders,3,6/5/2012,7/31/2013,3,2795.1,1,12000.0,2016-02-19 01:00:04 EST,2012,2013,6,7,JUN,SEP,2016-02-19 01:00:04,2016,2,MAR,86
7894,1706229,LA,Nursery and Tree Production,4,10/11/2010,10/10/2012,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2012,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,18
7895,1706232,LA,Nursery and Tree Production,36,10/11/2010,10/10/2012,35,32805.49,30,36000.0,2015-02-20 01:00:06 EST,2010,2012,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,18
7902,1709229,KY,Tobacco Farming,9,6/20/2011,10/28/2013,8,0.0,0,3150.0,2015-02-20 01:00:06 EST,2011,2013,6,10,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,14
7903,1709233,KY,Tobacco Farming,18,6/20/2011,11/1/2013,17,0.0,0,7200.0,2015-02-20 01:00:06 EST,2011,2013,6,11,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,14
8730,1521476,AZ,Hay Farming,8,4/1/2008,12/16/2008,8,10553.99,8,4000.0,2015-02-20 01:00:06 EST,2008,2008,4,12,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,24
8835,1493232,TX,Farm Labor Contractors and Crew Leaders,51,9/1/2007,12/1/2007,46,4437.92,14,8600.0,2015-02-20 01:00:06 EST,2007,2007,9,12,SEP,DEC,2015-02-20 01:00:06,2015,2,MAR,130
8911,1743067,MS,Potato Farming,36,9/5/2014,10/16/2014,35,929.79,34,10500.0,2016-02-19 01:00:04 EST,2014,2014,9,10,SEP,DEC,2016-02-19 01:00:04,2016,2,MAR,16
9014,1652061,NC,Tobacco Farming,3,4/1/2011,5/22/2012,3,0.0,0,1350.0,2015-02-20 01:00:06 EST,2011,2012,4,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,35
9489,1768216,NC,Agricultural Implement Manufacturing,5,4/2/2015,8/21/2015,2,0.0,0,900.0,2016-02-19 01:00:04 EST,2015,2015,4,8,JUN,SEP,2016-02-19 01:00:04,2016,2,MAR,36
9649,1761474,KY,Tobacco Farming,6,4/5/2013,8/6/2015,4,0.0,0,0.0,2016-02-19 01:00:04 EST,2013,2015,4,8,JUN,SEP,2016-02-19 01:00:04,2016,2,MAR,14
9652,1652937,NJ,Vegetable and Melon Farming,9,3/19/2012,12/9/2012,8,1200.0,8,0.0,2015-02-20 01:00:06 EST,2012,2012,3,12,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,35
9731,1414712,CT,,2,8/8/2003,8/8/2005,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2003,2005,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,12
9756,1495788,MS,Potato Farming,45,5/10/2007,11/1/2007,42,2510.98,8,1200.0,2015-02-20 01:00:06 EST,2007,2007,5,11,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,16
9759,1698226,AR,Rice Farming,1,9/1/2011,8/31/2013,1,0.0,0,900.0,2015-02-20 01:00:06 EST,2011,2013,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,16
9919,1743020,KY,Tobacco Farming,15,12/5/2012,12/4/2014,12,0.0,0,5400.0,2016-02-19 01:00:04 EST,2012,2014,12,12,DEC,DEC,2016-02-19 01:00:04,2016,2,MAR,14
9958,1452753,NY,Support Activities for Animal Production,3,8/9/2004,8/8/2006,3,476.1,3,0.0,2015-02-20 01:00:06 EST,2004,2006,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
10015,1446447,VA,Tobacco Farming,4,7/14/2004,7/5/2006,2,2221.62,1,0.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
10163,1686920,KY,Tobacco Farming,2,4/4/2011,4/3/2013,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,4,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
10227,1446271,UT,Sheep Farming,1,7/16/2004,7/14/2006,1,5414.3,1,0.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,13
10316,1369469,ID,Sheep Farming,1,4/3/2004,3/24/2005,1,2250.0,1,1000.0,2015-02-20 01:00:06 EST,2004,2005,4,3,JUN,MAR,2015-02-20 01:00:06,2015,2,MAR,5
10340,1445248,NY,Other Vegetable (except Potato) and Melon Farming,6,6/26/2004,6/24/2006,6,937.36,6,0.0,2015-02-20 01:00:06 EST,2004,2006,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,87
10381,1758409,TN,Tobacco Farming,1,8/1/2014,4/23/2015,1,0.0,0,0.0,2016-02-19 01:00:04 EST,2014,2015,8,4,SEP,JUN,2016-02-19 01:00:04,2016,2,MAR,18
10550,1691344,UT,Sheep Farming,22,2/1/2011,6/24/2013,22,1569.73,8,2400.0,2015-04-01 01:00:03 EDT,2011,2013,2,6,MAR,JUN,2015-04-01 01:00:03,2015,4,JUN,12
10564,1744724,OK,"Crop Harvesting, Primarily by Machine",3,7/1/2013,6/30/2015,2,0.0,0,0.0,2016-02-19 01:00:04 EST,2013,2015,7,6,SEP,JUN,2016-02-19 01:00:04,2016,2,MAR,17
10578,1451734,NY,Berry (except Strawberry) Farming,2,4/1/2006,7/28/2006,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2006,4,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,87
10654,1659288,NY,Apple Orchards,7,6/26/2010,6/25/2012,7,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2012,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,87
10690,1446433,VA,Tobacco Farming,4,7/18/2004,7/8/2006,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
10691,1446437,VA,Tobacco Farming,2,7/13/2004,7/10/2006,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
10705,1447758,NC,Tobacco Farming,6,1/1/2006,7/26/2006,6,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2006,1,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,35
10760,1694058,NY,Wineries,39,6/30/2011,6/27/2013,35,7548.26,27,4725.0,2015-02-20 01:00:06 EST,2011,2013,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,87
10785,1669852,KY,Tobacco Farming,9,9/5/2010,9/4/2012,7,0.0,0,4725.0,2015-02-20 01:00:06 EST,2010,2012,9,9,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
10841,1449164,VA,Tobacco Farming,6,6/29/2004,6/29/2006,6,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
11356,1661968,KY,Tobacco Farming,16,7/27/2010,7/26/2012,13,0.0,0,3000.0,2015-02-20 01:00:06 EST,2010,2012,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
11766,1424379,VA,Business Associations,448,9/29/2005,11/7/2005,448,2150.0,80,0.0,2015-02-20 01:00:06 EST,2005,2005,9,11,SEP,DEC,2015-02-20 01:00:06,2015,2,MAR,24
11800,1432913,ND,"Crop Harvesting, Primarily by Machine",18,4/15/2005,12/1/2005,18,2893.22,3,2250.0,2015-02-20 01:00:06 EST,2005,2005,4,12,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,2
11986,1423797,NY,Apple Orchards,1,10/4/2005,10/19/2005,1,67.94,1,0.0,2015-02-20 01:00:06 EST,2005,2005,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,87
12423,1435620,OK,"Crop Harvesting, Primarily by Machine",3,3/15/2005,12/1/2005,2,1074.6,2,0.0,2015-02-20 01:00:06 EST,2005,2005,3,12,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,16
12698,1493199,NY,Apple Orchards,22,1/1/2007,9/26/2007,22,0.0,0,0.0,2015-02-20 01:00:06 EST,2007,2007,1,9,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
12774,1446762,VA,Other Vegetable (except Potato) and Melon Farming,18,7/14/2004,7/11/2006,16,0.0,0,675.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
12905,1434219,KS,Sheep Farming,5,3/23/2005,11/30/2005,5,1406.46,2,1400.0,2015-02-20 01:00:06 EST,2005,2005,3,11,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,23
13381,1437584,ID,Sheep Farming,3,3/21/2004,3/20/2006,3,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,3,3,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,5
13507,1416991,VA,Tobacco Farming,17,4/15/2004,8/24/2005,17,273.75,7,1487.5,2015-02-20 01:00:06 EST,2004,2005,4,8,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,24
13560,1592084,NY,Other Crop Farming,24,1/1/2009,9/30/2010,24,410.11,4,0.0,2015-02-20 01:00:06 EST,2009,2010,1,9,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
14081,1452794,KS,Wheat Farming,12,3/11/2006,10/31/2006,12,5400.0,0,3400.0,2015-02-20 01:00:06 EST,2006,2006,3,10,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,23
14603,1458129,ME,Other Vegetable (except Potato) and Melon Farming,3,10/11/2004,10/10/2006,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,4
14687,1494582,NY,Vegetable and Melon Farming,8,1/7/2007,10/14/2007,5,0.0,0,0.0,2015-02-20 01:00:06 EST,2007,2007,1,10,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,87
14736,1448300,MA,Apple Orchards,9,9/1/2004,8/31/2006,7,3254.49,4,0.0,2015-02-20 01:00:06 EST,2004,2006,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,17
14747,1458379,VT,Noncitrus Fruit and Tree Nut Farming,3,10/20/2004,10/19/2006,3,1617.1,3,1500.0,2015-02-20 01:00:06 EST,2004,2006,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,3
14816,1452993,TN,Vegetable and Melon Farming,12,1/1/2006,8/21/2006,7,10695.58,5,0.0,2015-02-20 01:00:06 EST,2006,2006,1,8,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,18
14940,1686148,LA,Rice Farming,2,5/18/2011,5/17/2013,2,0.0,0,600.0,2015-02-20 01:00:06 EST,2011,2013,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,18
15140,1457627,KY,Tobacco Farming,37,11/16/2004,11/5/2006,37,5751.2,18,1040.0,2015-02-20 01:00:06 EST,2004,2006,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,14
15756,1451735,NY,Other Vegetable (except Potato) and Melon Farming,4,4/1/2006,12/2/2006,3,15000.0,3,0.0,2015-02-20 01:00:06 EST,2006,2006,4,12,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,87
16241,1466726,CA,Farm Labor Contractors and Crew Leaders,427,11/3/2006,7/31/2007,363,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2007,11,7,DEC,SEP,2015-02-20 01:00:06,2015,2,MAR,134
16292,1659157,LA,Rice Farming,13,6/21/2010,6/20/2012,12,1835.62,7,6600.0,2015-02-20 01:00:06 EST,2010,2012,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,18
16369,1463369,VA,Nursery and Tree Production,27,12/11/2004,12/9/2006,27,5818.99,13,2600.0,2015-02-20 01:00:06 EST,2004,2006,12,12,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,24
16520,1461746,ND,Corn Farming,12,3/1/2005,12/31/2005,12,2616.86,4,1400.0,2015-02-20 01:00:06 EST,2005,2005,3,12,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,2
16868,1469563,FL,Farm Labor Contractors and Crew Leaders,14,12/23/2006,1/30/2007,14,67.12,7,0.0,2015-02-20 01:00:06 EST,2006,2007,12,1,DEC,MAR,2015-02-20 01:00:06,2015,2,MAR,88
17085,1464396,FL,Other Vegetable (except Potato) and Melon Farming,862,10/22/2006,2/23/2007,851,134935.04,815,0.0,2015-02-20 01:00:06 EST,2006,2007,10,2,DEC,MAR,2015-02-20 01:00:06,2015,2,MAR,88
17384,1461176,MS,Nursery and Floriculture Production,59,10/29/2004,10/27/2006,57,6856.63,19,10000.0,2015-02-20 01:00:06 EST,2004,2006,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,16
17524,1460250,NY,Forest Nurseries and Gathering of Forest Products,11,4/7/2006,10/19/2006,11,4335.5,10,0.0,2015-02-20 01:00:06 EST,2006,2006,4,10,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,87
17814,1463460,VA,Nursery and Tree Production,41,12/4/2004,12/2/2006,41,3367.82,18,0.0,2015-02-20 01:00:06 EST,2004,2006,12,12,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,24
18196,1517295,SC,Other Noncitrus Fruit Farming,1,6/10/2008,6/10/2008,1,0.0,0,1000.0,2015-02-20 01:00:06 EST,2008,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
18198,1517299,SC,Other Noncitrus Fruit Farming,24,6/17/2008,6/17/2008,24,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
18357,1722063,AL,Nursery and Tree Production,3,3/15/2012,3/13/2014,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2012,2014,3,3,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,22
18657,1475799,VA,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",44,4/29/2005,4/27/2007,42,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,4,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
18877,1470782,KY,Other Vegetable (except Potato) and Melon Farming,11,3/15/2005,3/14/2007,8,0.0,0,600.0,2015-02-20 01:00:06 EST,2005,2007,3,3,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,14
18944,1485617,ME,Landscaping Services,8,7/24/2005,7/15/2007,8,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,4
19070,1484147,VA,Tobacco Farming,23,7/17/2005,7/7/2007,6,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
19071,1484151,VA,Tobacco Farming,5,7/15/2005,7/6/2007,4,10933.71,2,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
19939,1470789,KY,All Other Miscellaneous Crop Farming,4,3/8/2005,3/7/2007,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,3,3,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,14
20198,1484146,VA,Tobacco Farming,8,7/10/2005,7/10/2007,8,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
20234,1489652,NY,"Greenhouse, Nursery, and Floriculture Production",13,8/29/2005,8/28/2007,12,3921.0,12,0.0,2015-02-20 01:00:06 EST,2005,2007,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
20241,1487481,GA,Other Vegetable (except Potato) and Melon Farming,23,8/23/2005,8/22/2007,23,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,49
20284,1694708,NC,Corn Farming,9,7/12/2011,7/11/2013,5,0.0,0,2100.0,2015-02-20 01:00:06 EST,2011,2013,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,35
20412,1475794,VA,Grape Vineyards,18,5/8/2005,5/8/2007,17,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
20529,1433136,MT,Apiculture,6,6/27/2004,6/24/2006,6,10683.26,4,0.0,2015-02-20 01:00:06 EST,2004,2006,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,2
