,case_id,st_cd,naics_code_description,case_violtn_cnt,findings_start_date,findings_end_date,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,ld_dt,start_year,end_year,start_month_int,end_month_int,start_quarter,end_quarter,ld_dt_object,ld_dt_year,ld_dt_month,ld_dt_quarter,total_employment
231610,1727413,AR,Oilseed and Grain Combination Farming,15,2/15/2013,11/15/2015,11,12276.79,4,7800.0,2018-08-14 00:04:06 EDT,2013,2015,2,11,MAR,DEC,2018-08-14 00:04:06,2018,8,SEP,15
231616,1728216,CO,"Beef Cattle Ranching and Farming, including Feedlots",15,12/1/2011,5/12/2014,15,29698.11,4,16950.0,2018-08-14 00:04:06 EDT,2011,2014,12,5,DEC,JUN,2018-08-14 00:04:06,2018,8,SEP,15
231617,1728225,CO,Sheep Farming,7,2/1/2012,5/14/2014,7,0.0,0,5512.5,2018-08-14 00:04:06 EDT,2012,2014,2,5,MAR,JUN,2018-08-14 00:04:06,2018,8,SEP,15
231695,1737390,MS,Potato Farming,29,4/26/2013,8/8/2014,22,4574.89,8,54650.0,2018-08-14 00:04:06 EDT,2013,2014,4,8,JUN,SEP,2018-08-14 00:04:06,2018,8,SEP,16
231753,1440183,FL,Farm Labor Contractors and Crew Leaders,501,2/1/2006,7/1/2007,454,0.0,0,0.0,2018-08-14 00:04:03 EDT,2006,2007,2,7,MAR,SEP,2018-08-14 00:04:03,2018,8,SEP,78
231800,1598306,UT,Dual-Purpose Cattle Ranching and Farming,52,1/1/2009,12/31/2010,51,81373.35,14,22125.0,2018-08-14 00:04:04 EDT,2009,2010,1,12,MAR,DEC,2018-08-14 00:04:04,2018,8,SEP,10
231828,1618154,GA,Farm Labor Contractors and Crew Leaders,103,6/8/2009,6/7/2011,99,24223.39,69,88650.0,2018-08-14 00:04:04 EDT,2009,2011,6,6,JUN,JUN,2018-08-14 00:04:04,2018,8,SEP,45
231832,1622305,IA,Farm Labor Contractors and Crew Leaders,545,7/15/2010,10/15/2011,339,15000.0,0,423600.0,2018-08-14 00:04:04 EDT,2010,2011,7,10,SEP,DEC,2018-08-14 00:04:04,2018,8,SEP,9
231885,1629602,PA,Landscaping Services,270,11/1/2009,10/31/2011,49,26502.03,16,0.0,2018-08-14 00:04:04 EDT,2009,2011,11,10,DEC,DEC,2018-08-14 00:04:04,2018,8,SEP,56
231926,1667325,NY,Other Vegetable (except Potato) and Melon Farming,5,2/21/2011,9/27/2012,5,1912.41,5,0.0,2015-02-20 01:00:06 EST,2011,2012,2,9,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
231928,1667327,NY,"Greenhouse, Nursery, and Floriculture Production",8,9/5/2010,9/4/2012,8,5846.54,8,0.0,2015-02-20 01:00:06 EST,2010,2012,9,9,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
232198,1796828,AR,Potato Farming,16,9/8/2014,9/7/2016,15,4442.3,12,900.0,2018-03-24 02:13:06 EDT,2014,2016,9,9,SEP,SEP,2018-03-24 02:13:06,2018,3,MAR,16
232199,1796861,AR,Oilseed and Grain Combination Farming,91,9/15/2014,9/14/2016,88,8719.49,27,10611.2,2018-03-24 02:13:06 EDT,2014,2016,9,9,SEP,SEP,2018-03-24 02:13:06,2018,3,MAR,16
232207,1798233,PA,Horses and Other Equine Production,5,1/1/2015,11/30/2016,5,0.0,0,4950.0,2018-03-24 02:13:06 EDT,2015,2016,1,11,MAR,DEC,2018-03-24 02:13:06,2018,3,MAR,58
